DATE,AAPL,META,MSFT,GOOG,AMZN,MKT,SMB,HML,RF,WINDOW,LAAPL,LMETA,LMSFT,LGOOG,LAMZN,RAAPL,RMETA,RMSFT,RGOOG,RAMZN,ERAAPL,ERMETA,ERMSFT,ERGOOG,ERAMZN
15/02/2019,41.122234,162.5,102.765411,55.682499,80.397499,1.13,0.25,0.47,0.01,0,1.6140767,2.210853365,2.011846963,1.745718718,1.905242539,-0.096726586,-0.385804774,0.532989999,-0.311639086,-0.395231949,-0.106726586,-0.395804774,0.522989999,-0.321639086,-0.405231949
19/02/2019,41.245285,162.289993,102.717911,55.928001,81.378998,0.19,0.29,0.3,0.01,0,1.615374309,2.210291742,2.011646178,1.747629297,1.910512338,0.129760883,-0.056162379,-0.020078504,0.191057895,0.526979923,0.119760883,-0.066162379,-0.030078504,0.181057895,0.516979923
20/02/2019,41.510719,162.559998,102.183891,55.689999,81.105003,0.19,0.21,0.55,0.01,0,1.618160256,2.211013685,2.009382436,1.74577721,1.909047645,0.278594691,0.072194374,-0.226374255,-0.185208679,-0.146469349,0.268594691,0.062194374,-0.236374255,-0.195208679,-0.156469349
21/02/2019,41.276661,160.039993,104.339142,54.848499,80.972,-0.37,-0.07,-0.22,0.01,0,1.615704559,2.204228524,2.018447261,1.739164747,1.908334866,-0.24556972,-0.678516155,0.906482521,-0.661246305,-0.071277826,-0.25556972,-0.688516155,0.896482521,-0.671246305,-0.081277826
22/02/2019,41.737545,161.889999,105.826843,55.518501,81.578003,0.65,0.55,-1.47,0.01,0,1.6205269,2.20922002,2.024595841,1.744437732,1.91157307,0.482234172,0.499149667,0.614857944,0.527298461,0.32382033,0.472234172,0.489149667,0.604857944,0.517298461,0.31382033
25/02/2019,42.041576,164.619995,106.418091,55.470001,81.650002,0.15,-0.26,-0.18,0.01,0,1.623678988,2.216482584,2.027015464,1.744058174,1.9119562,0.315208762,0.726256378,0.241962343,-0.037955794,0.038312997,0.305208762,0.716256378,0.231962343,-0.047955794,0.028312997
26/02/2019,42.065704,164.130005,107.152428,55.7565,81.82,-0.16,-0.64,-0.33,0.01,0,1.623928162,2.215187983,2.030002016,1.746295504,1.912859475,0.024917362,-0.129460143,0.298655231,0.223733029,0.090327545,0.014917362,-0.139460143,0.288655231,0.213733029,0.080327545
27/02/2019,42.196007,162.809998,106.971214,55.802502,82.054497,0.09,0.2,-0.12,0.01,0,1.625271356,2.211681071,2.029266925,1.746653672,1.914102388,0.134319416,-0.350691176,-0.073509173,0.035816771,0.124291241,0.124319416,-0.360691176,-0.083509173,0.025816771,0.114291241
28/02/2019,41.780975,161.449997,106.837708,55.995998,81.991501,-0.31,0.02,-0.24,0.01,0,1.62097857,2.208038041,2.028724562,1.748156989,1.913768837,-0.429278525,-0.364302968,-0.054236209,0.150331765,-0.033355055,-0.439278525,-0.374302968,-0.064236209,0.140331765,-0.043355055
01/03/2019,42.220127,162.279999,107.314545,57.0495,83.586502,0.72,0.29,-0.4,0.009,0,1.625519535,2.210264996,2.030658589,1.756251842,1.922136151,0.45409649,0.222695507,0.193402607,0.809485312,0.836731386,0.44509649,0.213695507,0.184402607,0.800485312,0.827731386
04/03/2019,42.432487,167.369995,107.057045,57.389999,84.808502,-0.52,-0.4,0.37,0.009,0,1.627698487,2.223677603,2.029615252,1.758836217,1.928439392,0.217895149,1.34126068,-0.104333679,0.25843747,0.630324131,0.208895149,1.33226068,-0.113333679,0.24943747,0.621324131
05/03/2019,42.355267,171.259995,106.523026,58.101501,84.621498,-0.17,-0.31,-0.23,0.009,0,1.626907424,2.233655927,2.027443495,1.764187352,1.927480709,-0.079106304,0.997832385,-0.217175682,0.535113496,-0.095868309,-0.088106304,0.988832385,-0.226175682,0.526113496,-0.104868309
06/03/2019,42.111553,172.509995,106.570694,57.893002,83.447502,-0.84,-1.27,0.05,0.009,0,1.624401258,2.236814263,2.027637794,1.76262607,1.921413341,-0.250616607,0.315833558,0.019429901,-0.156128196,-0.606736849,-0.259616607,0.306833558,0.010429901,-0.165128196,-0.615736849
